DATE,VIXCLS,SENT,CFNAI,FEDFUNDS,dgp_growth
2007-01-01,11.0425,"0,270",-0.48,5.25,5.6
2007-02-01,11.155263157894737,"0,479",0.19,5.26,5.391666666666667
2007-03-01,15.162727272727272,"0,540",0.23,5.26,5.183333333333333
2007-04-01,12.933000000000002,"0,596",-0.11,5.25,4.975
2007-05-01,13.297727272727274,"0,321",0.03,5.25,4.766666666666667
2007-06-01,14.947619047619046,"0,338",-0.05,5.25,4.558333333333334
2007-07-01,17.273333333333333,"0,247",-0.41,5.26,4.35
2007-08-01,25.02608695652174,"0,170",-0.08,5.02,4.141666666666667
2007-09-01,22.198947368421056,"0,114",-0.07,4.94,3.9333333333333336
2007-10-01,19.115652173913045,"0,111",-0.28,4.76,3.725
2007-11-01,25.58238095238095,"0,102",-0.07,4.49,3.5166666666666666
2007-12-01,21.651,"0,071",-0.43,4.24,3.3083333333333336
2008-01-01,25.816190476190474,"0,202",-0.23,3.94,3.1
2008-02-01,25.456,"0,249",-0.77,2.98,2.8333333333333335
2008-03-01,27.103500000000004,"0,178",-0.79,2.61,2.566666666666667
2008-04-01,21.562727272727273,"0,078",-0.66,2.28,2.3
2008-05-01,18.303333333333335,"0,026",-0.82,1.98,2.033333333333333
2008-06-01,22.11047619047619,"0,018",-0.71,2.0,1.7666666666666668
2008-07-01,24.32227272727273,"-0,007",-1.22,2.01,1.5
2008-08-01,20.695714285714285,"0,019",-1.24,2.0,1.2333333333333334
2008-09-01,30.297619047619047,"-0,251",-2.5,1.81,0.9666666666666668
2008-10-01,61.17739130434782,"-0,238",-1.11,0.97,0.7000000000000002
2008-11-01,62.66894736842105,"-0,611",-2.29,0.39,0.43333333333333357
2008-12-01,52.35590909090909,"-0,504",-2.61,0.16,0.16666666666666696
2009-01-01,44.683,"-0,497",-2.96,0.15,-0.1
2009-02-01,45.57052631578947,"-0,699",-1.2,0.22,0.3666666666666666
2009-03-01,44.79545454545455,"-0,698",-2.29,0.18,0.8333333333333333
2009-04-01,38.063809523809525,"-0,850",-1.58,0.15,1.2999999999999998
2009-05-01,31.977999999999998,"-0,767",-1.13,0.18,1.7666666666666664
2009-06-01,29.140454545454546,"-0,765",-0.88,0.21,2.233333333333333
2009-07-01,26.162727272727274,"-0,562",0.15,0.16,2.6999999999999997
2009-08-01,25.337142857142858,"-0,604",0.0,0.16,3.166666666666666
2009-09-01,24.92666666666667,"-0,672",-0.22,0.15,3.633333333333333
2009-10-01,24.252272727272725,"-0,845",-0.31,0.12,4.1
2009-11-01,23.788999999999998,"-0,936",0.04,0.12,4.566666666666666
2009-12-01,21.239545454545453,"-0,883",-0.31,0.12,5.033333333333333
2010-01-01,20.643157894736845,"-0,866",0.15,0.11,5.5
2010-02-01,22.54,"-0,792",-0.36,0.13,5.4
2010-03-01,17.767391304347825,"-0,803",0.47,0.16,5.3
2010-04-01,17.424285714285716,"-0,588",0.38,0.2,5.2
2010-05-01,31.9295,"-0,560",0.3,0.2,5.1
2010-06-01,29.916363636363634,"-0,317",-0.16,0.18,5.0
2010-07-01,25.565238095238094,"-0,330",0.14,0.18,4.9
2010-08-01,24.74590909090909,"-0,246",-0.16,0.19,4.8
2010-09-01,22.517619047619046,"-0,239",-0.2,0.19,4.7
2010-10-01,20.37333333333333,"-0,362",-0.12,0.19,4.6
2010-11-01,20.095714285714287,"-0,412",-0.18,0.19,4.5
2010-12-01,17.56954545454545,"-0,398",0.08,0.18,4.3999999999999995
2011-01-01,17.3155,"-0,388",0.02,0.17,4.3
2011-02-01,17.43,"-0,326",-0.39,0.16,4.233333333333333
2011-03-01,20.723478260869566,"-0,278",0.4,0.14,4.166666666666666
2011-04-01,16.244,"-0,281",-0.48,0.1,4.1
2011-05-01,16.91142857142857,"-0,139",-0.34,0.09,4.033333333333333
2011-06-01,19.153181818181817,"-0,215",0.0,0.09,3.966666666666667
2011-07-01,19.2275,"-0,242",0.15,0.07,3.9
2011-08-01,35.02913043478261,"-0,251",-0.02,0.1,3.833333333333333
2011-09-01,36.53,"-0,182",-0.26,0.08,3.7666666666666666
2011-10-01,32.829047619047614,"-0,189",0.15,0.07,3.7
2011-11-01,31.94190476190476,"-0,332",-0.34,0.08,3.6333333333333333
2011-12-01,25.047619047619047,"-0,365",0.26,0.07,3.5666666666666664
2012-01-01,20.228,"-0,425",0.35,0.08,3.5
2012-02-01,18.4205,"-0,353",0.01,0.1,3.4916666666666667
2012-03-01,16.167272727272728,"-0,355",-0.4,0.13,3.4833333333333334
2012-04-01,17.823,"-0,347",0.06,0.14,3.475
2012-05-01,21.001818181818184,"-0,327",-0.18,0.16,3.466666666666667
2012-06-01,21.13095238095238,"-0,460",-0.33,0.16,3.4583333333333335
2012-07-01,17.562380952380952,"-0,324",-0.29,0.16,3.45
2012-08-01,15.689565217391305,"-0,338",-0.44,0.13,3.4416666666666664
2012-09-01,15.284736842105264,"-0,329",-0.11,0.14,3.433333333333333
2012-10-01,16.276190476190475,"-0,265",-0.27,0.16,3.425
2012-11-01,16.701904761904764,"-0,394",0.28,0.16,3.4166666666666665
2012-12-01,17.3445,"-0,423",0.15,0.16,3.408333333333333
2013-01-01,13.505238095238095,"-0,343",-0.35,0.14,3.4
2013-02-01,14.072631578947368,"-0,212",0.23,0.15,3.408333333333333
2013-03-01,13.0315,"-0,144",-0.27,0.14,3.4166666666666665
2013-04-01,13.967272727272727,"-0,245",-0.32,0.15,3.425
2013-05-01,13.493636363636364,"-0,191",0.15,0.11,3.433333333333333
2013-06-01,17.2715,"-0,131",-0.15,0.09,3.4416666666666664
2013-07-01,13.974545454545455,"-0,226",-0.53,0.09,3.45
2013-08-01,14.21,"-0,136",0.3,0.08,3.4583333333333335
2013-09-01,14.692000000000002,"-0,107",0.1,0.08,3.466666666666667
